"symbol","owning_fixture","profiles","contract_category","raw_baseline","validation_owner","decision_policy","rationale"
"simdlib_partial_abi_matrix_cell<int16_t,10>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int16_t,11>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int16_t,12>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int16_t,13>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int16_t,14>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int16_t,15>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint8_t,7>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint8_t,8>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint8_t,9>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint8_t,10>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint8_t,11>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint8_t,12>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint8_t,13>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint8_t,14>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint8_t,15>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<double,3>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint32_t,1>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint32_t,2>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint32_t,3>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint64_t,1>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint8_t,1>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint8_t,2>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint8_t,3>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint8_t,4>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint8_t,5>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint8_t,6>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int8_t,13>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int8_t,14>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int8_t,15>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint16_t,1>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint16_t,2>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint16_t,3>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint16_t,4>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint16_t,5>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint16_t,6>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint16_t,7>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int8_t,3>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int8_t,4>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int8_t,5>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int8_t,6>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int8_t,7>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int8_t,8>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int8_t,9>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int8_t,10>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int8_t,11>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int8_t,12>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int16_t,4>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int16_t,5>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int16_t,6>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int16_t,7>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int32_t,1>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int32_t,2>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int32_t,3>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int64_t,1>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int8_t,1>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int8_t,2>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_register_codegen_add","tests/codegen/PartialRegisterMaskCodegen.cpp","128/SSE42;256/AVX2","value","direct Api/native equivalent","PartialRegisterMaskCodegen","ENFORCE exact or pinned hashes","same invariant work"
"simdlib_partial_register_codegen_divide","tests/codegen/PartialRegisterMaskCodegen.cpp","128/SSE42;256/AVX2","value","direct Api/native equivalent","PartialRegisterMaskCodegen","ENFORCE exact or pinned hashes","same invariant work"
"simdlib_partial_register_codegen_import","tests/codegen/PartialRegisterMaskCodegen.cpp","128/SSE42;256/AVX2","value","direct Api/native equivalent","PartialRegisterMaskCodegen","ENFORCE exact or pinned hashes","same invariant work"
"simdlib_partial_abi_matrix_cell<double,1>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<float,1>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<float,2>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<float,3>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int16_t,1>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int16_t,2>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int16_t,3>::pass","tests/codegen/PartialRegisterAbi.cpp","128/SSE42","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_general_codegen_convert","tests/codegen/PartialRegisterGeneralCodegen.cpp","128/SSE42;256/AVX2","conversion","direct Api/native equivalent","PartialRegisterGeneral","ENFORCE exact or pinned hashes","same invariant work"
"simdlib_partial_general_codegen_native_transfer","tests/codegen/PartialRegisterGeneralCodegen.cpp","128/SSE42;256/AVX2","value","direct Api/native equivalent","PartialRegisterGeneral","ENFORCE exact or pinned hashes","same invariant work"
"simdlib_partial_general_codegen_numeric_convert","tests/codegen/PartialRegisterGeneralCodegen.cpp","128/SSE42;256/AVX2","conversion","direct Api/native equivalent","PartialRegisterGeneral","ENFORCE exact or pinned hashes","same invariant work"
"simdlib_partial_general_codegen_payload_shift","tests/codegen/PartialRegisterGeneralCodegen.cpp","128/SSE42;256/AVX2","rearrangement","direct Api/native equivalent","PartialRegisterGeneral","ENFORCE exact or pinned hashes","same invariant work"
"simdlib_partial_general_codegen_payload_shift_right","tests/codegen/PartialRegisterGeneralCodegen.cpp","128/SSE42;256/AVX2","rearrangement","direct Api/native equivalent","PartialRegisterGeneral","ENFORCE exact or pinned hashes","same invariant work"
"simdlib_partial_general_codegen_rearrange","tests/codegen/PartialRegisterGeneralCodegen.cpp","128/SSE42;256/AVX2","rearrangement","direct Api/native equivalent","PartialRegisterGeneral","ENFORCE exact or pinned hashes","same invariant work"
"simdlib_partial_general_codegen_transfer","tests/codegen/PartialRegisterGeneralCodegen.cpp","128/SSE42;256/AVX2","value","direct Api/native equivalent","PartialRegisterGeneral","ENFORCE exact or pinned hashes","same invariant work"
"simdlib_partial_general_codegen_unary_shift","tests/codegen/PartialRegisterGeneralCodegen.cpp","128/SSE42;256/AVX2","rearrangement","direct Api/native equivalent","PartialRegisterGeneral","ENFORCE exact or pinned hashes","same invariant work"
"simdlib_partial_general_codegen_widen_low","tests/codegen/PartialRegisterGeneralCodegen.cpp","128/SSE42","conversion","direct Api/native equivalent","PartialRegisterGeneral","ENFORCE exact or pinned hashes","supported low-prefix widening geometry"
"simdlib_partial_mask_codegen_compose","tests/codegen/PartialRegisterMaskCodegen.cpp","128/SSE42;256/AVX2","predicate","direct Api/native equivalent","PartialRegisterMaskCodegen","ENFORCE exact or pinned hashes","same invariant work"
"simdlib_partial_arithmetic_codegen_multiply_add_adjacent","tests/codegen/PartialRegisterArithmeticCodegen.cpp","128/SSE42;256/AVX2","value","direct Api/native equivalent","PartialRegisterArithmeticCodegen","ENFORCE exact or pinned hashes","same invariant work"
"simdlib_partial_arithmetic_codegen_negate","tests/codegen/PartialRegisterArithmeticCodegen.cpp","128/SSE42;256/AVX2","value","direct Api/native equivalent","PartialRegisterArithmeticCodegen","ENFORCE exact or pinned hashes","same invariant work"
