"symbol","owning_fixture","applicability","contract_category","comparison_baseline","comparison_record","owning_validation","decision","rationale"
"simdlib_consumer_abi_register_pass","tests/codegen/RegisterAbi.cpp","SSE4.2/128; AVX2/128; AVX2/256","ABI boundary","tests/codegen/RegisterAbiRaw.cpp matching native-vector signature","consumer-abi","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","A real public Register or RegisterMask crosses the downstream non-inlined VECTORCALL boundary and is compared with the native signature."
"simdlib_consumer_abi_register_return","tests/codegen/RegisterAbi.cpp","SSE4.2/128; AVX2/128; AVX2/256","ABI boundary","tests/codegen/RegisterAbiRaw.cpp matching native-vector signature","consumer-abi","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","A real public Register or RegisterMask crosses the downstream non-inlined VECTORCALL boundary and is compared with the native signature."
"simdlib_codegen_aligned_transfer","tests/codegen/RegisterCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","composed-expression optimization","tests/codegen/RegisterCodegenRaw.cpp public Api expression","primary-composition","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","Aligned load and aligned store must optimize as one transfer chain; isolated load/store cells do not cover the chain."
"simdlib_codegen_basic_bitwise","tests/codegen/RegisterCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","composed-expression optimization","tests/codegen/RegisterCodegenRaw.cpp public Api expression","register-only","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","Chained bitwise operators including public andnot polarity must collapse to the Api expression."
"simdlib_codegen_basic_broadcast_chain","tests/codegen/RegisterCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","composed-expression optimization","tests/codegen/RegisterCodegenRaw.cpp public Api expression","register-only","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","Multiple scalar broadcasts in an arithmetic chain must add no wrapper work."
"simdlib_codegen_basic_shift_left_immediate","tests/codegen/RegisterCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","instruction-property guarantee","tests/codegen/RegisterCodegenRaw.cpp public Api expression","register-only","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","A compile-time shift count must retain the immediate public operation code shape."
"simdlib_codegen_broadcast_reuse","tests/codegen/RegisterCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","composed-expression optimization","tests/codegen/RegisterCodegenRaw.cpp public Api expression","register-only","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","A reused broadcast value must remain common and avoid redundant wrapper work."
"simdlib_codegen_byte_transfer","tests/codegen/RegisterCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","composed-expression optimization","tests/codegen/RegisterCodegenRaw.cpp public Api expression","primary-composition","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","Byte-span load and store must optimize as one transfer chain; isolated load/store cells do not cover the chain."
"simdlib_codegen_complete_byte_shift","tests/codegen/RegisterCodegenFixture.h","SSE4.2/128; AVX2/128","public abstraction parity","tests/codegen/RegisterCodegenRaw.cpp public Api expression","primary-composition","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2","retain","The explicit slow runtime complete-register byte shift must match the Api operation without wrapper storage."
"simdlib_codegen_complete_shift_runtime","tests/codegen/RegisterCodegenFixture.h","SSE4.2/128; AVX2/128","public abstraction parity","tests/codegen/RegisterCodegenRaw.cpp public Api expression","primary-composition","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2","retain","The explicit slow runtime complete-register bit shift must match the Api operation without wrapper storage."
"simdlib_codegen_complete_shift_static","tests/codegen/RegisterCodegenFixture.h","SSE4.2/128; AVX2/128","public abstraction parity","tests/codegen/RegisterCodegenRaw.cpp public Api expression","primary-composition","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2","retain","Static complete-register bit shifting must match the Api operation."
"simdlib_codegen_lane_last","tests/codegen/RegisterCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterCodegenRaw.cpp public Api expression","register-only","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","Nonzero constant-index lane extraction protects the highest-lane public path."
"simdlib_codegen_load_operate_store","tests/codegen/RegisterCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","composed-expression optimization","tests/codegen/RegisterCodegenRaw.cpp public Api expression","primary-composition","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","Load, arithmetic, and store must optimize as one memory-capable expression."
"simdlib_codegen_mask_all","tests/codegen/RegisterCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","composed-expression optimization","tests/codegen/RegisterCodegenRaw.cpp public Api expression","register-only","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","Comparison followed by all-lane reduction must compose without wrapper overhead."
"simdlib_codegen_mask_any","tests/codegen/RegisterCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","composed-expression optimization","tests/codegen/RegisterCodegenRaw.cpp public Api expression","register-only","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","Comparison followed by any-lane reduction must compose without wrapper overhead."
"simdlib_codegen_mask_bits","tests/codegen/RegisterCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","composed-expression optimization","tests/codegen/RegisterCodegenRaw.cpp public Api expression","register-only","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","Comparison followed by compact-mask extraction must compose without wrapper overhead."
"simdlib_codegen_mask_combine","tests/codegen/RegisterCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","composed-expression optimization","tests/codegen/RegisterCodegenRaw.cpp public Api expression","register-only","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","Comparison and predicate union must compose without wrapper overhead."
"simdlib_codegen_mask_select","tests/codegen/RegisterCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","composed-expression optimization","tests/codegen/RegisterCodegenRaw.cpp public Api expression","register-only","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","Comparison and selection must compose without wrapper overhead."
"simdlib_codegen_mutate","tests/codegen/RegisterCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","composed-expression optimization","tests/codegen/RegisterCodegenRaw.cpp public Api expression","primary-composition","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","A caller-owned native reference updated through a local Register must not acquire wrapper overhead."
"simdlib_codegen_native","tests/codegen/RegisterCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterCodegenRaw.cpp public Api expression","register-only","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","Aggregate wrapping and native-member observation must add no instructions."
"simdlib_codegen_opaque","tests/codegen/RegisterCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","register-pressure behavior","tests/codegen/RegisterCodegenRaw.cpp public Api expression","primary-composition","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","A wrapped value kept live across an opaque call must match raw spill and reload behavior."
"simdlib_codegen_pressure","tests/codegen/RegisterCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","register-pressure behavior","tests/codegen/RegisterCodegenRaw.cpp public Api expression","register-only","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","Multiple simultaneously live wrapper values must match the raw register-pressure expression."
"simdlib_codegen_reassignment_arithmetic","tests/codegen/RegisterCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","composed-expression optimization","tests/codegen/RegisterCodegenRaw.cpp public Api expression","reassignment","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","Successive ordinary assignments must match the equivalent nested Api arithmetic."
"simdlib_codegen_special_members","tests/codegen/RegisterCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterCodegenRaw.cpp public Api expression","register-only","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","Aggregate copy construction and assignment must add no runtime work."
"simdlib_codegen_ternary","tests/codegen/RegisterCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","composed-expression optimization","tests/codegen/RegisterCodegenRaw.cpp public Api expression","register-only","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","Operator multiply-add composition must collapse to the equivalent Api expression."
"simdlib_codegen_default","tests/codegen/RegisterDefaultAbi.cpp","SSE4.2/128; AVX2/128; AVX2/256","explicitly diagnostic evidence","tests/codegen/RegisterDefaultAbiRaw.cpp native-vector platform-default signature","default-abi","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The platform-default aggregate calling convention is recorded for diagnosis and is excluded from zero-overhead pass/fail claims."
"simdlib_fma_codegen_multiply_add_f32","tests/codegen/RegisterFmaCodegenFixture.h","SSE4.2/128 FMA-disabled; AVX2/128 and AVX2/256 FMA-disabled and FMA-enabled","instruction-property guarantee","tests/codegen/RegisterFmaCodegenRaw.cpp matching public Api::multiply_add operation","fma-disabled; fma-enabled on AVX2","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated f32 multiply-add cell enforces both fusion absence and fusion presence in the corresponding feature mode."
"simdlib_fma_codegen_multiply_add_f64","tests/codegen/RegisterFmaCodegenFixture.h","SSE4.2/128 FMA-disabled; AVX2/128 and AVX2/256 FMA-disabled and FMA-enabled","instruction-property guarantee","tests/codegen/RegisterFmaCodegenRaw.cpp matching public Api::multiply_add operation","fma-disabled; fma-enabled on AVX2","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated f64 multiply-add cell enforces both fusion absence and fusion presence in the corresponding feature mode."
"simdlib_rearrangement_codegen_bit_cast_f32_f32","tests/codegen/RegisterRearrangementCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The f32-to-f32 full-width bit-cast cell independently protects that public template instantiation."
"simdlib_rearrangement_codegen_bit_cast_f32_f64","tests/codegen/RegisterRearrangementCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The f32-to-f64 full-width bit-cast cell independently protects that public template instantiation."
"simdlib_rearrangement_codegen_bit_cast_f32_i16","tests/codegen/RegisterRearrangementCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The f32-to-i16 full-width bit-cast cell independently protects that public template instantiation."
"simdlib_rearrangement_codegen_bit_cast_f32_i32","tests/codegen/RegisterRearrangementCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The f32-to-i32 full-width bit-cast cell independently protects that public template instantiation."
"simdlib_rearrangement_codegen_bit_cast_f32_i64","tests/codegen/RegisterRearrangementCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The f32-to-i64 full-width bit-cast cell independently protects that public template instantiation."
"simdlib_rearrangement_codegen_bit_cast_f32_i8","tests/codegen/RegisterRearrangementCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The f32-to-i8 full-width bit-cast cell independently protects that public template instantiation."
"simdlib_rearrangement_codegen_bit_cast_f32_u16","tests/codegen/RegisterRearrangementCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The f32-to-u16 full-width bit-cast cell independently protects that public template instantiation."
"simdlib_rearrangement_codegen_bit_cast_f32_u32","tests/codegen/RegisterRearrangementCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The f32-to-u32 full-width bit-cast cell independently protects that public template instantiation."
"simdlib_rearrangement_codegen_bit_cast_f32_u64","tests/codegen/RegisterRearrangementCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The f32-to-u64 full-width bit-cast cell independently protects that public template instantiation."
"simdlib_rearrangement_codegen_bit_cast_f32_u8","tests/codegen/RegisterRearrangementCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The f32-to-u8 full-width bit-cast cell independently protects that public template instantiation."
"simdlib_rearrangement_codegen_bit_cast_f64_f32","tests/codegen/RegisterRearrangementCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The f64-to-f32 full-width bit-cast cell independently protects that public template instantiation."
"simdlib_rearrangement_codegen_bit_cast_f64_f64","tests/codegen/RegisterRearrangementCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The f64-to-f64 full-width bit-cast cell independently protects that public template instantiation."
"simdlib_rearrangement_codegen_bit_cast_f64_i16","tests/codegen/RegisterRearrangementCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The f64-to-i16 full-width bit-cast cell independently protects that public template instantiation."
"simdlib_rearrangement_codegen_bit_cast_f64_i32","tests/codegen/RegisterRearrangementCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The f64-to-i32 full-width bit-cast cell independently protects that public template instantiation."
"simdlib_rearrangement_codegen_bit_cast_f64_i64","tests/codegen/RegisterRearrangementCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The f64-to-i64 full-width bit-cast cell independently protects that public template instantiation."
"simdlib_rearrangement_codegen_bit_cast_f64_i8","tests/codegen/RegisterRearrangementCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The f64-to-i8 full-width bit-cast cell independently protects that public template instantiation."
"simdlib_rearrangement_codegen_bit_cast_f64_u16","tests/codegen/RegisterRearrangementCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The f64-to-u16 full-width bit-cast cell independently protects that public template instantiation."
"simdlib_rearrangement_codegen_bit_cast_f64_u32","tests/codegen/RegisterRearrangementCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The f64-to-u32 full-width bit-cast cell independently protects that public template instantiation."
"simdlib_rearrangement_codegen_bit_cast_f64_u64","tests/codegen/RegisterRearrangementCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The f64-to-u64 full-width bit-cast cell independently protects that public template instantiation."
"simdlib_rearrangement_codegen_bit_cast_f64_u8","tests/codegen/RegisterRearrangementCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The f64-to-u8 full-width bit-cast cell independently protects that public template instantiation."
"simdlib_rearrangement_codegen_bit_cast_i16_f32","tests/codegen/RegisterRearrangementCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The i16-to-f32 full-width bit-cast cell independently protects that public template instantiation."
"simdlib_rearrangement_codegen_bit_cast_i16_f64","tests/codegen/RegisterRearrangementCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The i16-to-f64 full-width bit-cast cell independently protects that public template instantiation."
"simdlib_rearrangement_codegen_bit_cast_i16_i16","tests/codegen/RegisterRearrangementCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The i16-to-i16 full-width bit-cast cell independently protects that public template instantiation."
"simdlib_rearrangement_codegen_bit_cast_i16_i32","tests/codegen/RegisterRearrangementCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The i16-to-i32 full-width bit-cast cell independently protects that public template instantiation."
"simdlib_rearrangement_codegen_bit_cast_i16_i64","tests/codegen/RegisterRearrangementCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The i16-to-i64 full-width bit-cast cell independently protects that public template instantiation."
"simdlib_rearrangement_codegen_bit_cast_i16_i8","tests/codegen/RegisterRearrangementCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The i16-to-i8 full-width bit-cast cell independently protects that public template instantiation."
"simdlib_rearrangement_codegen_bit_cast_i16_u16","tests/codegen/RegisterRearrangementCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The i16-to-u16 full-width bit-cast cell independently protects that public template instantiation."
"simdlib_rearrangement_codegen_bit_cast_i16_u32","tests/codegen/RegisterRearrangementCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The i16-to-u32 full-width bit-cast cell independently protects that public template instantiation."
"simdlib_rearrangement_codegen_bit_cast_i16_u64","tests/codegen/RegisterRearrangementCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The i16-to-u64 full-width bit-cast cell independently protects that public template instantiation."
"simdlib_rearrangement_codegen_bit_cast_i16_u8","tests/codegen/RegisterRearrangementCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The i16-to-u8 full-width bit-cast cell independently protects that public template instantiation."
"simdlib_rearrangement_codegen_bit_cast_i32_f32","tests/codegen/RegisterRearrangementCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The i32-to-f32 full-width bit-cast cell independently protects that public template instantiation."
"simdlib_rearrangement_codegen_bit_cast_i32_f64","tests/codegen/RegisterRearrangementCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The i32-to-f64 full-width bit-cast cell independently protects that public template instantiation."
